order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,3,1,1299.0,1299.0
2,1,1,1,999.0,999.0
3,2,5,2,1099.0,2198.0
4,2,4,1,1199.0,1199.0
5,3,7,1,1499.0,1499.0
6,3,3,1,1299.0,1299.0
7,3,1,1,999.0,999.0
8,4,3,1,1299.0,1299.0
9,5,6,1,1599.0,1599.0
10,6,11,1,2299.0,2299.0
11,6,8,1,699.0,699.0
12,7,8,1,699.0,699.0
13,8,4,2,1199.0,2398.0
14,8,12,1,3499.0,3499.0
15,9,8,1,699.0,699.0
16,9,7,1,1499.0,1499.0
17,10,6,1,1599.0,1599.0
18,11,6,1,1599.0,1599.0
19,12,11,2,2299.0,4598.0
20,13,2,2,999.0,1998.0
21,14,4,1,1199.0,1199.0
22,15,11,1,2299.0,2299.0
23,16,3,2,1299.0,2598.0
24,17,3,1,1299.0,1299.0
25,17,2,2,999.0,1998.0
26,18,4,1,1199.0,1199.0
27,18,3,1,1299.0,1299.0
28,19,3,1,1299.0,1299.0
29,19,4,1,1199.0,1199.0
30,20,3,1,1299.0,1299.0
31,20,12,1,3499.0,3499.0
32,21,5,1,1099.0,1099.0
33,22,8,1,699.0,699.0
34,23,1,2,999.0,1998.0
35,24,4,1,1199.0,1199.0
36,25,7,1,1499.0,1499.0
37,25,4,1,1199.0,1199.0
38,25,8,2,699.0,1398.0
39,26,1,2,999.0,1998.0
40,27,8,1,699.0,699.0
41,28,10,1,2199.0,2199.0
42,28,11,1,2299.0,2299.0
43,29,2,1,999.0,999.0
44,29,11,1,2299.0,2299.0
45,30,9,1,999.0,999.0
46,30,10,1,2199.0,2199.0
47,31,3,1,1299.0,1299.0
48,32,12,1,3499.0,3499.0
49,32,1,1,999.0,999.0
50,32,4,1,1199.0,1199.0
51,33,10,1,2199.0,2199.0
52,34,7,1,1499.0,1499.0
53,35,12,1,3499.0,3499.0
54,35,6,2,1599.0,3198.0
55,36,6,1,1599.0,1599.0
56,37,8,1,699.0,699.0
57,37,9,1,999.0,999.0
58,38,2,1,999.0,999.0
59,38,11,1,2299.0,2299.0
60,38,6,2,1599.0,3198.0
61,39,2,1,999.0,999.0
62,39,9,2,999.0,1998.0
63,40,4,1,1199.0,1199.0
64,41,3,1,1299.0,1299.0
65,42,8,1,699.0,699.0
66,43,2,1,999.0,999.0
67,43,7,1,1499.0,1499.0
68,44,7,1,1499.0,1499.0
69,45,2,1,999.0,999.0
70,46,1,1,999.0,999.0
71,46,12,1,3499.0,3499.0
72,46,6,1,1599.0,1599.0
73,47,9,1,999.0,999.0
74,48,3,1,1299.0,1299.0
75,48,8,1,699.0,699.0
76,49,2,1,999.0,999.0
77,49,1,1,999.0,999.0
78,49,9,1,999.0,999.0
79,50,9,2,999.0,1998.0
80,51,1,1,999.0,999.0
81,51,12,1,3499.0,3499.0
82,52,7,1,1499.0,1499.0
83,53,2,1,999.0,999.0
84,54,7,2,1499.0,2998.0
85,55,8,1,699.0,699.0
86,56,11,1,2299.0,2299.0
87,56,6,1,1599.0,1599.0
88,56,7,1,1499.0,1499.0
89,57,5,1,1099.0,1099.0
90,57,6,1,1599.0,1599.0
91,57,11,2,2299.0,4598.0
92,58,8,1,699.0,699.0
93,59,10,1,2199.0,2199.0
94,60,2,1,999.0,999.0
95,61,4,1,1199.0,1199.0
96,61,7,1,1499.0,1499.0
97,62,12,1,3499.0,3499.0
98,62,1,1,999.0,999.0
99,63,8,1,699.0,699.0
100,63,3,1,1299.0,1299.0
101,63,10,1,2199.0,2199.0
102,64,2,1,999.0,999.0
103,65,3,1,1299.0,1299.0
104,66,7,1,1499.0,1499.0
105,67,7,1,1499.0,1499.0
106,68,1,1,999.0,999.0
107,69,4,1,1199.0,1199.0
108,70,11,1,2299.0,2299.0
109,71,10,1,2199.0,2199.0
110,71,2,1,999.0,999.0
111,72,3,1,1299.0,1299.0
112,72,10,1,2199.0,2199.0
113,73,8,1,699.0,699.0
114,74,1,1,999.0,999.0
115,75,5,1,1099.0,1099.0
116,76,1,2,999.0,1998.0
117,77,1,1,999.0,999.0
118,77,4,1,1199.0,1199.0
119,78,3,1,1299.0,1299.0
120,79,5,1,1099.0,1099.0
121,79,4,1,1199.0,1199.0
122,80,8,1,699.0,699.0
123,81,8,1,699.0,699.0
124,82,1,1,999.0,999.0
125,82,3,1,1299.0,1299.0
126,83,9,1,999.0,999.0
127,84,2,1,999.0,999.0
128,84,1,1,999.0,999.0
129,85,3,1,1299.0,1299.0
130,86,10,1,2199.0,2199.0
131,86,9,1,999.0,999.0
132,87,2,1,999.0,999.0
133,88,8,2,699.0,1398.0
134,88,9,2,999.0,1998.0
135,89,1,1,999.0,999.0
136,90,10,1,2199.0,2199.0
137,90,2,1,999.0,999.0
138,91,10,1,2199.0,2199.0
139,91,3,1,1299.0,1299.0
140,92,7,1,1499.0,1499.0
141,93,7,1,1499.0,1499.0
142,94,9,1,999.0,999.0
143,94,5,1,1099.0,1099.0
144,95,3,1,1299.0,1299.0
145,95,4,1,1199.0,1199.0
146,95,7,1,1499.0,1499.0
147,96,4,1,1199.0,1199.0
148,97,2,2,999.0,1998.0
149,98,9,1,999.0,999.0
150,99,2,1,999.0,999.0
151,100,8,1,699.0,699.0
152,101,9,1,999.0,999.0
153,102,11,1,2299.0,2299.0
154,102,9,1,999.0,999.0
155,103,12,1,3499.0,3499.0
156,104,5,1,1099.0,1099.0
157,104,10,1,2199.0,2199.0
158,105,1,1,999.0,999.0
159,106,7,1,1499.0,1499.0
160,107,12,1,3499.0,3499.0
161,108,7,1,1499.0,1499.0
162,109,7,1,1499.0,1499.0
163,110,2,1,999.0,999.0
164,111,8,1,699.0,699.0
165,112,7,1,1499.0,1499.0
166,113,1,1,999.0,999.0
167,113,4,1,1199.0,1199.0
168,114,10,1,2199.0,2199.0
169,115,8,1,699.0,699.0
170,115,7,1,1499.0,1499.0
171,115,9,1,999.0,999.0
172,116,11,1,2299.0,2299.0
173,116,2,1,999.0,999.0
174,117,10,1,2199.0,2199.0
175,118,12,2,3499.0,6998.0
176,119,11,2,2299.0,4598.0
177,120,8,2,699.0,1398.0
178,120,10,2,2199.0,4398.0
179,120,1,1,999.0,999.0
180,121,2,1,999.0,999.0
181,122,4,1,1199.0,1199.0
182,123,3,1,1299.0,1299.0
183,124,4,1,1199.0,1199.0
184,124,8,1,699.0,699.0
185,125,8,1,699.0,699.0
186,126,3,1,1299.0,1299.0
187,127,12,1,3499.0,3499.0
188,127,10,1,2199.0,2199.0
189,128,8,1,699.0,699.0
190,128,7,1,1499.0,1499.0
191,129,1,1,999.0,999.0
192,130,5,1,1099.0,1099.0
193,131,8,1,699.0,699.0
194,131,7,2,1499.0,2998.0
195,132,1,1,999.0,999.0
196,133,10,2,2199.0,4398.0
197,134,1,1,999.0,999.0
198,134,2,1,999.0,999.0
199,134,10,1,2199.0,2199.0
200,135,8,1,699.0,699.0
201,135,9,1,999.0,999.0
202,136,1,1,999.0,999.0
203,137,1,1,999.0,999.0
204,138,7,1,1499.0,1499.0
205,139,10,1,2199.0,2199.0
206,139,3,1,1299.0,1299.0
207,140,10,1,2199.0,2199.0
208,141,9,1,999.0,999.0
209,141,12,1,3499.0,3499.0
210,142,10,1,2199.0,2199.0
211,143,7,1,1499.0,1499.0
212,144,2,1,999.0,999.0
213,144,3,1,1299.0,1299.0
214,144,9,1,999.0,999.0
215,145,4,2,1199.0,2398.0
216,146,8,1,699.0,699.0
217,147,8,1,699.0,699.0
218,148,1,2,999.0,1998.0
219,149,3,2,1299.0,2598.0
220,150,9,1,999.0,999.0
221,151,12,1,3499.0,3499.0
222,151,10,1,2199.0,2199.0
223,152,11,1,2299.0,2299.0
224,152,1,1,999.0,999.0
225,153,10,2,2199.0,4398.0
226,154,8,1,699.0,699.0
227,154,4,1,1199.0,1199.0
228,155,12,1,3499.0,3499.0
229,155,1,1,999.0,999.0
230,156,9,1,999.0,999.0
231,156,10,1,2199.0,2199.0
232,157,10,1,2199.0,2199.0
